a,b,c,d,,,,,,P11881
3jzj,2010,P05067,ACARBOSE/MALTOSE BINDING PROTEIN GACH,,,,,,349
3k02,2010,P01865,ACARBOSE/MALTOSE BINDING PROTEIN GACH,,,,,,Q9WUL6
3k00,2010,P81461,ACARBOSE/MALTOSE BINDING PROTEIN GACH,,,,,,942
5ey4,2016,P02866,78 KDA GLUCOSE-REGULATED PROTEIN,,,,,,P68400
5f2r,2016,P33527,78 KDA GLUCOSE-REGULATED PROTEIN,,,,,,391
3ldp,2011,P13631,78 KDA GLUCOSE-REGULATED PROTEIN,,,,,,Q5U5J2
5f1x,2016,P9WMC0,78 KDA GLUCOSE-REGULATED PROTEIN,,,,,,397
5evz,2016,A5U9I4,78 KDA GLUCOSE-REGULATED PROTEIN,,,,,,Q26490
5exw,2016,P31947,78 KDA GLUCOSE-REGULATED PROTEIN,,,,,,351
4mpn,2014,P08311,PYRUVATE DEHYDROGENASE [LIPOAMIDE] KINASE ISOZYME,,,,,,Q9RVD6
5j6a,2017,Q5SID9,PYRUVATE DEHYDROGENASE (ACETYL-TRANSFERRING) KINASE,,,,,,351
2q8h,2007,Q96RI1,PYRUVATE DEHYDROGENASE [LIPOAMIDE] KINASE,,,,,,Q9K169
2vba,2007,P00740,3-OXOACYL-[ACYL-CARRIER-PROTEIN] SYNTHASE 1,,,,,,351
2vb8,2007,Q58206,3-OXOACYL-[ACYL-CARRIER-PROTEIN] SYNTHASE 1,,,,,,Q7DDU0
4f6u,2013,P9WPQ5,CYCLIN-DEPENDENT KINASE 8,,,,,,349
4f6w,2013,A5U2S7,CYCLIN-DEPENDENT KINASE 8,,,,,,P0AB91
4crl,2015,Q9KS12,CYCLIN-DEPENDENT KINASE 8,,,,,,350
4m3p,2014,K4NGD4,BETAINE--HOMOCYSTEINE S-METHYLTRANSFERASE 1,,,,,,B4EA43
5x62,2017,Q9RMI1,CARNOSINE N-METHYLTRANSFERASE,,,,,,342
2qpu,2008,Q12314,ALPHA-AMYLASE,,,,,,H3BCW1
3s5y,2012,P0AES6,ALPHA-GALACTOSIDASE A,,,,,,356
6fv4,2018,Q26997,N-ACETYLGLUCOSAMINE-6-PHOSPHATE DEACETYLASE,,,,,,P67475
1v16,2004,P73797,2-OXOISOVALERATE DEHYDROGENASE ALPHA SUBUNIT,,,,,,0
1v1m,2004,P01660,2-OXOISOVALERATE DEHYDROGENASE ALPHA SUBUNIT,,,,,,Q8ZQ06
1v11,2004,P03418,2-OXOISOVALERATE DEHYDROGENASE ALPHA SUBUNIT,,,,,,341
1olx,2003,P25910,2-OXOISOVALERATE DEHYDROGENASE ALPHA SUBUNIT,,,,,,O15804
1olu,2003,O27402,2-OXOISOVALERATE DEHYDROGENASE ALPHA SUBUNIT,,,,,,375
1ols,2003,Q9CES5,2-OXOISOVALERATE DEHYDROGENASE ALPHA SUBUNIT,,,,,,Q9NQG6
3k5x,2010,P00746,DIPEPTIDASE,,,,,,463
4do5,2012,O74036,ALPHA-N-ACETYLGALACTOSAMINIDASE,,,,,,Q8BGV8
4do4,2012,Q79791,ALPHA-N-ACETYLGALACTOSAMINIDASE,,,,,,463
4ua8,2014,P12493,CARBOHYDRATE ABC TRANSPORTER SUBSTRATE-BINDING PROT,,,,,,P04816
4uac,2014,P12497,CARBOHYDRATE ABC TRANSPORTER SUBSTRATE-BINDING PROT,,,,,,369
2ihj,2007,Q24973,"ALPHA-2,3/2,6-SIALYLTRANSFERASE/SIALIDASE",,,,,,Q9I6J1
5my8,2017,P01837,"SRSF PROTEIN KINASE 1,SRSF PROTEIN KINASE 1",,,,,,367
3zhx,2013,I6L8L2,1-DEOXY-D-XYLULOSE 5-PHOSPHATE REDUCTOISOMERASE,,,,,,Q5VXR3
3zi0,2013,Q6P6C2,1-DEOXY-D-XYLULOSE 5-PHOSPHATE REDUCTOISOMERASE,,,,,,0
4oma,2014,P25774,METHIONINE GAMMA-LYASE,,,,,,C3SGA2
2cle,2007,P52699,TRYPTOPHAN SYNTHASE ALPHA CHAIN,,,,,,335
2clk,2007,P97287,TRYPTOPHAN SYNTHASE ALPHA CHAIN,,,,,,Q06151
2clh,2007,O75608,TRYPTOPHAN SYNTHASE ALPHA CHAIN,,,,,,350
2cli,2007,Q8ZKA9,TRYPTOPHAN SYNTHASE ALPHA CHAIN,,,,,,P0C6X7
1tjp,2005,P58154,TRYPTOPHAN SYNTHASE ALPHA CHAIN,,,,,,7073
1d2e,1999,I7B368,ELONGATION FACTOR TU (EF-TU),,,,,,Q9KID9
2bo4,2005,Q7TS98,MANNOSYLGLYCERATE SYNTHASE,,,,,,344
2zym,2009,Q43965,SOLUTE-BINDING PROTEIN,,,,,,Q9Y223
3jyr,2010,D0VWX9,MALTOSE BINDING PERIPLASMIC PROTEIN,,,,,,722
3rm9,2011,P69834,ACIDIC MAMMALIAN CHITINASE,,,,,,Q7RYZ9
3rm4,2011,Q84406,ACIDIC MAMMALIAN CHITINASE,,,,,,333
3qfd,2011,P9WMC1,HLA CLASS I HISTOCOMPATIBILITY ANTIGEN,,,,,,P27115
5isz,2017,Q72J47,HLA CLASS I HISTOCOMPATIBILITY ANTIGEN,,,,,,447
3bzf,2008,P26918,HLA CLASS I HISTOCOMPATIBILITY ANTIGEN,,,,,,P31751
5jzi,2017,Q96554,HLA CLASS I HISTOCOMPATIBILITY ANTIGEN,,,,,,481
4l4v,2013,B0CZL6,HLA CLASS I HISTOCOMPATIBILITY ANTIGEN,,,,,,Q8IJH3
1xr9,2005,P23946,HLA CLASS I HISTOCOMPATIBILITY ANTIGEN,,,,,,323
4o2c,2014,O32393,HLA CLASS I HISTOCOMPATIBILITY ANTIGEN,,,,,,P36897
2qrl,2007,P10344,SACCHAROPINE DEHYDROGENASE,,,,,,503
2qrk,2007,Q52L64,SACCHAROPINE DEHYDROGENASE,,,,,,Q54A37
2zkj,2008,Q8KRS7,PYRUVATE DEHYDROGENASE [LIPOAMIDE] KINASE,,,,,,323
3g0i,2009,P0DOX7,EPOXIDE HYDROLASE,,,,,,P00797
5mks,2017,A8C927,HEAT SHOCK 70 KDA PROTEIN 1A,,,,,,406
5mkr,2017,Q96GG9,HEAT SHOCK 70 KDA PROTEIN 1A,,,,,,O13833
5aqz,2016,P35030,HEAT SHOCK 70 KDA PROTEIN 1A,,,,,,405
6fhk,2018,D5KM69,HEAT SHOCK 70 KDA PROTEIN 1A,,,,,,W8FRA6
2gsu,2006,P00763,PHOSPHODIESTERASE-NUCLEOTIDE PYROPHOSPHATASE,,,,,,0
4gzx,2012,O08498,NEURAMINIDASE,,,,,,Q12051
4gzw,2012,P00775,NEURAMINIDASE,,,,,,335
4gzt,2012,P13051,NEURAMINIDASE,,,,,,P43092
4gzp,2012,P22734,NEURAMINIDASE,,,,,,0
4zow,2015,P00492,MULTIDRUG TRANSPORTER MDFA,,,,,,Q9KU37
3hmp,2010,P52679,DUAL SPECIFICITY PROTEIN KINASE TTK,,,,,,330
3hmo,2010,P08263,DUAL SPECIFICITY PROTEIN KINASE TTK,,,,,,P15057
4ks4,2013,Q58EU8,NEURAMINIDASE,,,,,,339
4ks1,2013,P01834,NEURAMINIDASE,,,,,,P32951
4hym,2013,Q27796,"TOPOISOMERASE IV, SUBUNIT B",,,,,,402
4hy1,2013,P71447,"TOPOISOMERASE IV, SUBUNIT B",,,,,,Q9RA63
2dw7,2006,Q9UQR0,BLL6730 PROTEIN,,,,,,854
3mz6,2010,P25779,HISTONE DEACETYLASE 8,,,,,,O66809
5vi6,2017,Q5SH52,HISTONE DEACETYLASE 8,,,,,,367
2qwb,1998,Q9Y3Q4,NEURAMINIDASE,,,,,,Q01064
1f8d,2001,A2P1G9,NEURAMINIDASE,,,,,,536
2qwc,1998,O49235,NEURAMINIDASE,,,,,,Q9X1T1
1f8e,2001,P04637,NEURAMINIDASE,,,,,,333
2qwd,1998,P01811,NEURAMINIDASE,,,,,,Q04724
1f8b,2001,A8DG50,NEURAMINIDASE,,,,,,770
2qwf,1998,C1KIK8,NEURAMINIDASE,,,,,,C5AP93
1f8c,2001,Q920E6,NEURAMINIDASE,,,,,,329
2qwe,1998,P01857,NEURAMINIDASE,,,,,,Q5TCY1
4.00E+70,2013,P04905,CONIFERYL ALCOHOL 9-O-METHYLTRANSFERASE,,,,,,1321
2z1w,2007,Q7B8P6,QUEUINE TRNA-RIBOSYLTRANSFERASE,,,,,,Q08345
3rr4,2012,P00572,QUEUINE TRNA-RIBOSYLTRANSFERASE,,,,,,913
1enu,2000,Q07010,TRNA GUANINE TRANSGLYCOSYLASE,,,,,,Q8WTX7
1k4h,2002,P11439,TRNA GUANINE TRANSGLYCOSYLASE,,,,,,329
1s38,2004,O05521,QUEUINE TRNA-RIBOSYLTRANSFERASE,,,,,,P10721
1q65,2004,P77526,QUEUINE TRNA-RIBOSYLTRANSFERASE,,,,,,976
4q4q,2014,P02753,QUEUINE TRNA-RIBOSYLTRANSFERASE,,,,,,Q9Z2X8
1k4g,2002,O80852,TRNA GUANINE TRANSGLYCOSYLASE,,,,,,624
4q4p,2014,P01867,QUEUINE TRNA-RIBOSYLTRANSFERASE,,,,,,P9WNP5
4q4r,2014,P9WKE0,QUEUINE TRNA-RIBOSYLTRANSFERASE,,,,,,314
4kwo,2014,O05891,QUEUINE TRNA-RIBOSYLTRANSFERASE,,,,,,Q6N193
1r5y,2004,P69441,QUEUINE TRNA-RIBOSYLTRANSFERASE,,,,,,335
4leq,2014,P0A720,QUEUINE TRNA-RIBOSYLTRANSFERASE,,,,,,P04391
4lbu,2014,P08179,QUEUINE TRNA-RIBOSYLTRANSFERASE,,,,,,334
1f3e,2000,P30113,QUEUINE TRNA-RIBOSYLTRANSFERASE,,,,,,P13009
4pum,2014,P30114,QUEUINE TRNA-RIBOSYLTRANSFERASE,,,,,,1227
4q4s,2014,Q9JN36,QUEUINE TRNA-RIBOSYLTRANSFERASE,,,,,,Q31TG8
3gc5,2009,P09211,QUEUINE TRNA-RIBOSYLTRANSFERASE,,,,,,332
2qzr,2007,Q9AIU0,QUEUINE TRNA-RIBOSYLTRANSFERASE,,,,,,Q9FD73
4q4o,2014,Q9UL51,QUEUINE TRNA-RIBOSYLTRANSFERASE,,,,,,327
3gc4,2009,W6E076,QUEUINE TRNA-RIBOSYLTRANSFERASE,,,,,,P04642
1s39,2004,Q97W95,TRNA GUANINE TRANSGLYCOSYLASE,,,,,,332
5jxq,2016,P22102,QUEUINE TRNA-RIBOSYLTRANSFERASE,,,,,,Q8TDX5
3ge7,2009,Q9NZD2,QUEUINE TRNA-RIBOSYLTRANSFERASE,,,,,,336
5lz4,2016,Q5T1C6,PLATELET-ACTIVATING FACTOR ACETYLHYDROLASE,,,,,,O95819
5lz7,2016,Q8VZS8,PLATELET-ACTIVATING FACTOR ACETYLHYDROLASE,,,,,,1239
5lz5,2016,P95092,PLATELET-ACTIVATING FACTOR ACETYLHYDROLASE,,,,,,P03176
2gh9,2007,Q7DC80,MALTOSE/MALTODEXTRIN-BINDING PROTEIN,,,,,,0
2gyi,1995,P0ACT4,XYLOSE ISOMERASE,,,,,,P46925
5am6,2015,P14207,FIBROBLAST GROWTH FACTOR RECEPTOR 1,,,,,,453
5am7,2015,P36544,FIBROBLAST GROWTH FACTOR RECEPTOR 1,,,,,,Q94M05
4v01,2014,P05050,FIBROBLAST GROWTH FACTOR RECEPTOR 1,,,,,,331
4rwj,2015,Q7WYV4,FIBROBLAST GROWTH FACTOR RECEPTOR 1,,,,,,P13491
6mjf,2018,Q8R7L0,DBOPHM,,,,,,332
5g1z,2017,Q6JP77,GLYCYLPEPTIDE N-TETRADECANOYLTRANSFERASE,,,,,,P48730
4a95,2012,O23346,GLYCYLPEPTIDE N-TETRADECANOYLTRANSFERASE,,,,,,415
3cl0,2008,O95149,NEURAMINIDASE,,,,,,Q9NXS2
3ckz,2008,P02743,NEURAMINIDASE,,,,,,382
4q3u,2014,P68693,ARGINASE,,,,,,P25548
4q3t,2014,P15167,ARGINASE,,,,,,354
5m17,2017,O57413,GLYCOSYL HYDROLASE FAMILY 71,,,,,,Q86PD7
5m5d,2017,Q939R9,GLYCOSYL HYDROLASE FAMILY 71,,,,,,354
4ad3,2012,P03369,GLYCOSYL HYDROLASE FAMILY 71,,,,,,Q57ZL6
6hmg,2018,O38716,GLYCOSYL HYDROLASE FAMILY 71,,,,,,327
4ad2,2012,O38732,GLYCOSYL HYDROLASE FAMILY 71,,,,,,P18654
4v27,2014,Q90K99,GLYCOSYL HYDROLASE FAMILY 71,,,,,,740
5lyr,2017,P26662,GLYCOSYL HYDROLASE FAMILY 71,,,,,,P29375
4v24,2014,Q9NPB1,SPHINGOSINE KINASE 1,,,,,,1690
3iw6,2009,A5U8U8,MITOGEN-ACTIVATED PROTEIN KINASE 14,,,,,,Q05320
1kv1,2002,C3W5S0,MITOGEN-ACTIVATED PROTEIN KINASE P38,,,,,,676
3huc,2010,P07584,MITOGEN-ACTIVATED PROTEIN KINASE 14,,,,,,P07267
3iw5,2009,Q43295,MITOGEN-ACTIVATED PROTEIN KINASE 14,,,,,,405
2bal,2005,P9WMB9,MITOGEN-ACTIVATED PROTEIN KINASE 14,,,,,,Q16769
2zb1,2008,C9Z6T8,MITOGEN-ACTIVATED PROTEIN KINASE 14,,,,,,361
3o8p,2010,Q5EGY4,MITOGEN-ACTIVATED PROTEIN KINASE 14,,,,,,P53582
4f9y,2013,P0ACT8,MITOGEN-ACTIVATED PROTEIN KINASE 14,,,,,,386
3gcu,2009,P80188,MITOGEN-ACTIVATED PROTEIN KINASE 14,,,,,,E5R5T0
4f9w,2013,Q86PT9,MITOGEN-ACTIVATED PROTEIN KINASE 14,,,,,,0
3gcs,2009,Q9FV53,MITOGEN-ACTIVATED PROTEIN KINASE 14,,,,,,P00953
2bak,2005,O34738,MITOGEN-ACTIVATED PROTEIN KINASE 14,,,,,,328
3iph,2009,Q9NPD8,MITOGEN-ACTIVATED PROTEIN KINASE 14,,,,,,P14061
3hl7,2009,Q96RT1,MITOGEN-ACTIVATED PROTEIN KINASE 14,,,,,,328
3gcp,2009,P42085,MITOGEN-ACTIVATED PROTEIN KINASE 14,,,,,,P52333
3d7z,2008,D0ZP76,MITOGEN-ACTIVATED PROTEIN KINASE 14,,,,,,1124
2ewa,2006,O36607,MITOGEN-ACTIVATED PROTEIN KINASE 14,,,,,,V5IRV5
3.00E+92,2008,Q9FUZ2,MITOGEN-ACTIVATED PROTEIN KINASE 14,,,,,,314
3hub,2010,D0C9L6,MITOGEN-ACTIVATED PROTEIN KINASE 14,,,,,,O60674
1yqj,2005,O28751,MITOGEN-ACTIVATED PROTEIN KINASE 14,,,,,,1132
4loo,2013,A2RI47,MITOGEN-ACTIVATED PROTEIN KINASE 14,,,,,,B7QK46
3roc,2011,D8KFM5,MITOGEN-ACTIVATED PROTEIN KINASE 14,,,,,,353
3hll,2009,P60953,MITOGEN-ACTIVATED PROTEIN KINASE 14,,,,,,P23861
3d83,2008,P20701,MITOGEN-ACTIVATED PROTEIN KINASE 14,,,,,,0
2baj,2005,Q6HT60,MITOGEN-ACTIVATED PROTEIN KINASE 14,,,,,,P00491
2yix,2011,Q8NQ97,MITOGEN-ACTIVATED PROTEIN KINASE 14,,,,,,289
3.00E+93,2008,Q58L87,MITOGEN-ACTIVATED PROTEIN KINASE 14,,,,,,P43813
5tbe,2017,O00481,MITOGEN-ACTIVATED PROTEIN KINASE 14,,,,,,670
4m6u,2014,P04278,MANDELATE RACEMASE,,,,,,P04629
4fp1,2013,Q84MC7,MANDELATE RACEMASE,,,,,,796
3uxk,2012,Q8QN58,MANDELATE RACEMASE,,,,,,O57947
3uxl,2012,P01116,MANDELATE RACEMASE,,,,,,324
4aqh,2012,Q57986,PLASMINOGEN ACTIVATOR INHIBITOR 1,,,,,,P00798
2p53,2007,Q6G8R1,N-ACETYLGLUCOSAMINE-6-PHOSPHATE DEACETYLASE,,,,,,323
3exh,2008,Q04760,PYRUVATE DEHYDROGENASE E1 COMPONENT SUBUNIT,,,,,,P07824
3exe,2008,Q9VWX8,PYRUVATE DEHYDROGENASE E1 COMPONENT SUBUNIT,,,,,,323
2x2r,2011,P00374,KINESIN-LIKE PROTEIN KIF11,,,,,,O97447
5zo8,2018,P61006,KINESIN-LIKE PROTEIN KIF11,,,,,,323
6eij,2018,Q07817,DUAL SPECIFICITY TYROSINE-PHOSPHORYLATION-REGULATED KINASE,,,,,,O14757
6eir,2018,Q396C9,DUAL SPECIFICITY TYROSINE-PHOSPHORYLATION-REGULATED KINASE,,,,,,476
6eiq,2018,P09464,DUAL SPECIFICITY TYROSINE-PHOSPHORYLATION-REGULATED KINASE,,,,,,A0R5M8
6eis,2018,Q9CPU0,DUAL SPECIFICITY TYROSINE-PHOSPHORYLATION-REGULATED KINASE,,,,,,321
6eif,2018,A5GZX3,DUAL SPECIFICITY TYROSINE-PHOSPHORYLATION-REGULATED KINASE,,,,,,P05089
2sim,1994,O15164,NEURAMINIDASE,,,,,,322
4pqa,2014,Q8DSE5,SUCCINYL-DIAMINOPIMELATE DESUCCINYLASE,,,,,,Q9C9C9
4qp2,2015,P18902,MITOGEN-ACTIVATED PROTEIN KINASE 1,,,,,,350
2ojg,2007,Q46822,MITOGEN-ACTIVATED PROTEIN KINASE 1,,,,,,Q1R3F7
4qyy,2014,Q2QJL3,MITOGEN-ACTIVATED PROTEIN KINASE 1,,,,,,338
6cpw,2018,Q72498,MITOGEN-ACTIVATED PROTEIN KINASE 1,,,,,,Q9HZE7
2ojj,2007,Q76353,MITOGEN-ACTIVATED PROTEIN KINASE 1,,,,,,455
3i5z,2010,P0C6F2,MITOGEN-ACTIVATED PROTEIN KINASE 1,,,,,,A3N294
3i60,2010,Q9HBH1,MITOGEN-ACTIVATED PROTEIN KINASE 1,,,,,,346
1pme,1999,P14210,EXTRACELLULAR REGULATED KINASE 2,,,,,,Q88NI1
2o8h,2007,P22629,PHOSPHODIESTERASE-10A,,,,,,688
2ovv,2007,C1JZ07,PHOSPHODIESTERASE-10A,,,,,,Q9UR08
2ovy,2007,Q9WUL7,PHOSPHODIESTERASE-10A,,,,,,320
4hf4,2012,Q02218,PHOSPHODIESTERASE-10A,,,,,,A9CGA5
4zo5,2015,Q8II92,"CAMP AND CAMP-INHIBITED CGMP 3',5'-CYCLIC PHOSPHODIESTERASE",,,,,,336
4owm,2014,P00776,ANTHRANILATE PHOSPHORIBOSYLTRANSFERASE,,,,,,P14751
4n8q,2014,Q48255,ANTHRANILATE PHOSPHORIBOSYLTRANSFERASE,,,,,,319
3twp,2012,Q9GZU7,ANTHRANILATE PHOSPHORIBOSYLTRANSFERASE,,,,,,P00952
4owv,2014,Q8IEE9,ANTHRANILATE PHOSPHORIBOSYLTRANSFERASE,,,,,,419
3r88,2012,A1BTJ7,ANTHRANILATE PHOSPHORIBOSYLTRANSFERASE,,,,,,O96013
4gkm,2013,P0A546,ANTHRANILATE PHOSPHORIBOSYLTRANSFERASE,,,,,,591
3uu1,2012,B7GVP4,ANTHRANILATE PHOSPHORIBOSYLTRANSFERASE,,,,,,P29724
4m0r,2014,P11588,ANTHRANILATE PHOSPHORIBOSYLTRANSFERASE,,,,,,353
4ij1,2013,P11589,ANTHRANILATE PHOSPHORIBOSYLTRANSFERASE,,,,,,P23360
3qqs,2012,P0A9E0,ANTHRANILATE PHOSPHORIBOSYLTRANSFERASE,,,,,,329
5k1d,2017,P0A4Z2,BETA-LACTAMASE,,,,,,Q9AIU7
5k1f,2017,Q47200,BETA-LACTAMASE,,,,,,667
2xn3,2011,P17931,THYROXINE-BINDING GLOBULIN,,,,,,P76141
2xn5,2011,O77421,THYROXINE-BINDING GLOBULIN,,,,,,317
4ocq,2014,P36639,N-ACETYLHEXOSAMINE 1-PHOSPHATE KINASE,,,,,,P29597
5m28,2017,A5U649,MALE1,,,,,,1187
5ja0,2017,P9WNS5,FARNESYL PYROPHOSPHATE SYNTHASE,,,,,,E3NZ06
4pvy,2015,P0A552,FARNESYL PYROPHOSPHATE SYNTHASE,,,,,,903
2f94,2006,P09237,FARNESYL DIPHOSPHATE SYNTHASE,,,,,,Q6N446
4pvx,2015,P02791,FARNESYL PYROPHOSPHATE SYNTHASE,,,,,,335
2f9k,2006,Q9QLL6,FARNESYL DIPHOSPHATE SYNTHASE,,,,,,O32449
1yq7,2005,P04574,FARNESYL PYROPHOSPHATE SYNTHETASE,,,,,,317
4zvi,2015,P08254,DNA GYRASE SUBUNIT B,,,,,,P06213
1kzn,2002,P45452,DNA GYRASE SUBUNIT B,,,,,,1382
1pvn,2003,P56221,INOSINE-5'-MONOPHOSPHATE DEHYDROGENASE,,,,,,P00469
3a9i,2009,Q7D737,HOMOCITRATE SYNTHASE,,,,,,316
5hjq,2016,Q6WRH7,LD10117P,,,,,,Q27743
2fxu,2006,P0A4Z6,ACTIN-ALPHA-1,,,,,,316
5g1a,2017,P10415,HISTONE DEACETYLASE-LIKE AMIDOHYDROLASE,,,,,,P00800
5g17,2017,Q5G940,HISTONE DEACETYLASE-LIKE AMIDOHYDROLASE,,,,,,548
6gzd,2018,Q9GK12,CASEIN KINASE I ISOFORM ALPHA,,,,,,Q8VPB3
2p4s,2008,O33877,PURINE NUCLEOSIDE PHOSPHORYLASE,,,,,,341
3zc5,2013,Q15370,HEPATOCYTE GROWTH FACTOR RECEPTOR,,,,,,P23458
3q6w,2011,Q06187,HEPATOCYTE GROWTH FACTOR RECEPTOR,,,,,,1154
4ap7,2012,P03956,HEPATOCYTE GROWTH FACTOR RECEPTOR,,,,,,Q834R3
1r0p,2003,P0AG18,HEPATOCYTE GROWTH FACTOR RECEPTOR,,,,,,315
3zcl,2013,P62330,HEPATOCYTE GROWTH FACTOR RECEPTOR,,,,,,Q4WW81
3zbx,2013,P30044,HEPATOCYTE GROWTH FACTOR RECEPTOR,,,,,,315
3r7o,2012,T2B9G2,HEPATOCYTE GROWTH FACTOR RECEPTOR,,,,,,Q7SIG4
3zxz,2011,Q13526,HEPATOCYTE GROWTH FACTOR RECEPTOR,,,,,,314
4aoi,2012,Q8ZVF7,HEPATOCYTE GROWTH FACTOR RECEPTOR,,,,,,Q27546
2wgj,2009,Q6WY08,HEPATOCYTE GROWTH FACTOR RECEPTOR,,,,,,315
3zze,2011,P0AGJ7,HEPATOCYTE GROWTH FACTOR RECEPTOR,,,,,,O15530
3u6h,2012,Q9Y5A9,HEPATOCYTE GROWTH FACTOR RECEPTOR,,,,,,556
3u6i,2012,Q8TCU6,HEPATOCYTE GROWTH FACTOR RECEPTOR,,,,,,P26514
4zzz,2015,P0A6I6,POLY [ADP-RIBOSE] POLYMERASE 1,,,,,,477
3l3l,2010,P21675,POLY [ADP-RIBOSE] POLYMERASE 1,,,,,,P50053
5xsr,2018,P39900,POLY [ADP-RIBOSE] POLYMERASE 1,,,,,,298
3l3m,2010,Q29147,POLY [ADP-RIBOSE] POLYMERASE 1,,,,,,Q9U8X2
3gjw,2010,Q81R22,POLY [ADP-RIBOSE] POLYMERASE 1,,,,,,305
2rd6,2008,P55042,POLY [ADP-RIBOSE] POLYMERASE 1,,,,,,P07986
4und,2015,D0EM77,POLY [ADP-RIBOSE] POLYMERASE 1,,,,,,484
6b98,2017,Q8KFZ1,"CGMP-DEPENDENT 3',5'-CYCLIC PHOSPHODIESTERASE",,,,,,O00764
6b97,2017,P22894,"CGMP-DEPENDENT 3',5'-CYCLIC PHOSPHODIESTERASE",,,,,,312
6b96,2017,P62937,"CGMP-DEPENDENT 3',5'-CYCLIC PHOSPHODIESTERASE",,,,,,Q9VRQ9
4q93,2014,V9HWF5,"TYROSINE--TRNA LIGASE, CYTOPLASMIC",,,,,,340
2v95,2007,P62617,CORTICOSTEROID-BINDING GLOBULIN,,,,,,Q8RDN9
3ewc,2009,Q206Z5,ADENOSINE DEAMINASE,,,,,,327
1q8t,2003,Q1RBS0,CAMP-DEPENDENT PROTEIN KINASE,,,,,,A1JJJ9
3dnd,2009,P13689,CAMP-DEPENDENT PROTEIN KINASE,,,,,,311
3dne,2009,P0C6Y8,CAMP-DEPENDENT PROTEIN KINASE,,,,,,O32243
1q8w,2003,Q2LG68,CAMP-DEPENDENT PROTEIN KINASE,,,,,,303
1xh5,2005,P02754,CAMP-DEPENDENT PROTEIN KINASE,,,,,,Q99640
1ydr,1997,Q9HV14,CAMP-DEPENDENT PROTEIN KINASE,,,,,,499
2erz,2005,P26281,CAMP-DEPENDENT PROTEIN KINASE,,,,,,P0A786
4z84,2015,G7J032,CAMP-DEPENDENT PROTEIN KINASE,,,,,,311
1yds,1997,B7MFQ9,CAMP-DEPENDENT PROTEIN KINASE,,,,,,Q9CCZ4
1q8u,2003,Q91HI9,CAMP-DEPENDENT PROTEIN KINASE,,,,,,310
3bwj,2009,C8MLE4,CAMP-DEPENDENT PROTEIN KINASE,,,,,,P44542
4uj1,2016,Q99W87,CAMP-DEPENDENT PROTEIN KINASE,,,,,,329
4uj2,2016,P10153,CAMP-DEPENDENT PROTEIN KINASE,,,,,,P23905
1ydt,1997,P66034,CAMP-DEPENDENT PROTEIN KINASE,,,,,,332
4z83,2015,P0ABQ4,CAMP-DEPENDENT PROTEIN KINASE,,,,,,P14177
1xh4,2005,P07435,CAMP-DEPENDENT PROTEIN KINASE,,,,,,0
1xh9,2005,Q9UUB1,CAMP-DEPENDENT PROTEIN KINASE,,,,,,P24941
3agl,2010,P00379,CAMP-DEPENDENT PROTEIN KINASE,,,,,,298
4ujb,2016,P0A017,CAMP-DEPENDENT PROTEIN KINASE,,,,,,P37487
3ag9,2010,P02766,CAMP-DEPENDENT PROTEIN KINASE,,,,,,309
1stc,1998,O88339,CAMP-DEPENDENT PROTEIN KINASE,,,,,,Q3Y5H1
2jds,2007,O14786,CAMP-DEPENDENT PROTEIN KINASE,,,,,,307
4uja,2016,I6Y8B9,CAMP-DEPENDENT PROTEIN KINASE,,,,,,P0AEE5
5izf,2016,P81245,CAMP-DEPENDENT PROTEIN KINASE,,,,,,332
5izj,2016,P15474,CAMP-DEPENDENT PROTEIN KINASE,,,,,,P59641
4mo4,2014,O34667,ANHYDRO-N-ACETYLMURAMIC ACID KINASE,,,,,,0
5ix0,2016,Q7M4F9,HISTONE DEACETYLASE 2,,,,,,P00730
5iwg,2016,Q09JR9,HISTONE DEACETYLASE 2,,,,,,419
4lxz,2013,Q9XAM6,HISTONE DEACETYLASE 2,,,,,,A6H6Y4
4ly1,2013,P25440,HISTONE DEACETYLASE 2,,,,,,419
5mxf,2017,Q819U0,PHOTORHABDUS ASYMBIOTICA LECTIN PHL,,,,,,P06999
5om2,2018,H2FH31,ALPHA-1-ANTICHYMOTRYPSIN,,,,,,309
5om3,2018,P37571,ALPHA-1-ANTICHYMOTRYPSIN,,,,,,P0A5R0
5om7,2018,P22887,ALPHA-1-ANTICHYMOTRYPSIN,,,,,,0
6ftp,2018,Q9ZWP8,ALPHA-1-ANTICHYMOTRYPSIN,,,,,,Q00534
5n9r,2017,P04117,UBIQUITIN CARBOXYL-TERMINAL HYDROLASE 7,,,,,,326
1fch,2000,Q9CZW6,PEROXISOMAL TARGETING SIGNAL 1 RECEPTOR,,,,,,O94760
1moq,1998,P56470,GLUCOSAMINE 6-PHOSPHATE SYNTHASE,,,,,,285
4zzy,2015,O00214,POLY [ADP-RIBOSE] POLYMERASE 2,,,,,,K0Y3H9
4zzx,2015,Q03111,POLY [ADP-RIBOSE] POLYMERASE 2,,,,,,0
3kjd,2009,P09382,POLY [ADP-RIBOSE] POLYMERASE 2,,,,,,A8IYS5
4ovg,2014,P06968,DNA POLYMERASE III SUBUNIT BETA,,,,,,481
4mjp,2013,P0A731,DNA POLYMERASE III SUBUNIT BETA,,,,,,D0IR47
4ovf,2014,P15531,DNA POLYMERASE III SUBUNIT BETA,,,,,,307
